Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-01-02,2.263166357,2.285138845,2.248518031,2.285138845,12128000,0,0
1990-01-03,2.281477473,2.281477473,2.24485665,2.252180815,12976000,0,0
1990-01-04,2.252180239,2.255842097,2.211897121,2.241193771,7841600,0,0
1990-01-05,2.241193645,2.263166132,2.219221158,2.222883463,8305600,0,0
1990-01-08,2.222884508,2.270491362,2.215560343,2.270491362,10064000,0,0
1990-01-09,2.270491003,2.277815167,2.241194344,2.252180815,7419200,0,0
1990-01-10,2.252181665,2.255843526,2.215560829,2.237533331,8865600,0,0
1990-01-11,2.237533331,2.259505833,2.230209164,2.237533331,6083200,0,0
1990-01-12,2.211897697,2.211897697,2.15330438,2.156966686,11931200,0,0
1990-01-15,2.156966896,2.160628755,2.120346069,2.120346069,7740800,0,0
1990-01-16,2.12034666,2.138656855,2.087387683,2.138656855,15332800,0,0
1990-01-17,2.138655551,2.142317856,2.113021204,2.124007225,9076800,0,0
1990-01-18,2.124007395,2.127669701,2.094710742,2.113021374,13576000,0,0
1990-01-19,2.116683579,2.134994214,2.116683579,2.12767005,10728000,0,0
1990-01-22,2.127669806,2.13499397,2.06541419,2.06541419,9236800,0,0
1990-01-23,2.065414773,2.094711436,2.039780416,2.080063105,10224000,0,0
1990-01-24,2.076400941,2.076400941,2.010483458,2.069076777,15361600,0,0
1990-01-25,2.069076345,2.076400509,1.995834713,2.014144897,11276800,0,0
1990-01-26,2.01414595,2.025132425,1.94090428,1.977525115,10267200,0,0
1990-01-29,1.977524325,2.006820982,1.955551833,1.999496818,6878400,0,0
1990-01-30,1.992172328,1.992172328,1.911606535,1.940903187,17204800,0,0
1990-01-31,1.955554174,2.017809868,1.955554174,2.017809868,12382400,0,0
1990-02-01,2.017807203,2.036117387,2.010483039,2.014144897,8548800,0,0
1990-02-02,2.014146231,2.061753547,2.010484371,2.032456875,9054400,0,0
1990-02-05,2.032456585,2.039780752,2.014145944,2.025132418,5838400,0,0
1990-02-06,2.025131366,2.028793224,2.006820734,2.014144897,6806400,0,0
1990-02-07,2.01414459,2.050765401,1.988510246,2.036117077,10907200,0,0
1990-02-08,2.036118735,2.05809124,2.017808539,2.032456875,8243200,0,0
1990-02-09,2.032455585,2.047103912,2.021469116,2.021469116,6374400,0,0
1990-02-12,2.021469245,2.02513155,1.992172589,2.006820917,7777600,0,0
1990-02-13,2.0068218,2.010484107,1.959214937,1.962876797,10747200,0,0
1990-02-14,1.962875172,1.984847655,1.962875172,1.966537476,6832000,0,0
1990-02-15,1.96653776,2.036117077,1.959213598,2.036117077,12192000,0,0
1990-02-16,2.036117573,2.050765901,2.006820917,2.006820917,18003200,0,0
1990-02-20,2.006820917,2.014145081,1.981186567,2.006820917,12427200,0,0
1990-02-21,2.006820917,2.021469245,1.981186567,2.006820917,9185600,0,0
1990-02-22,2.006822197,2.039781179,1.984849691,1.984849691,8985600,0,0
1990-02-23,1.984848554,2.014145211,1.977524389,1.992172718,7696000,0,0
1990-02-26,1.995835057,2.032455879,1.995835057,2.028793573,11713600,0,0
1990-02-27,2.028792777,2.050765262,2.028792777,2.047103405,8505600,0,0
1990-02-28,2.047104004,2.07640066,2.043441699,2.06541419,11028800,0,0
1990-03-01,2.065414007,2.09471066,2.061752149,2.072738171,8774400,0,0
1990-03-02,2.072739259,2.083725733,2.054429065,2.058090925,7872000,0,0
1990-03-05,2.058090925,2.061753232,2.039780731,2.058090925,7692800,0,0
1990-03-06,2.061751844,2.09471035,2.061751844,2.09471035,8390400,0,0
1990-03-07,2.094711053,2.105697523,2.087386889,2.091049194,8684800,0,0
1990-03-08,2.091049408,2.124007928,2.091049408,2.120346069,8859200,0,0
1990-03-09,2.124764488,2.124764488,2.106352094,2.121081829,7550400,0.025,0
1990-03-12,2.121082022,2.132129549,2.113717154,2.124764681,5737600,0,0
1990-03-13,2.124765039,2.143176987,2.1100353,2.117400169,7083200,0,0
1990-03-14,2.117400406,2.139495016,2.117400406,2.132130146,7619200,0,0
1990-03-15,2.132130431,2.150542385,2.113718029,2.128447771,11937600,0,0
1990-03-16,2.128447528,2.157907009,2.106352917,2.157907009,19692800,0,0
1990-03-19,2.157906954,2.220508575,2.143177214,2.220508575,9969600,0,0
1990-03-20,2.216825364,2.216825364,2.183683681,2.194730759,9228800,0,0
